"date","geography","geography code","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"2011","N00000001 (Aldergrove ward)","N00000001",1113,40,36,34,40,27,33,28,24,14,20,12,22,8,7,6,5,10,6,3,7,14,26,37,29,34,47,40,35,32,54,39,37,41,20,25,30,23,25,21,22,23,11,11,8,8,3,3,5,3,4,3,3,1,1,1,0,3,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00000002 (Aldergrove ward)","N00000002",351,8,4,7,4,6,6,8,2,7,6,5,1,3,5,7,3,2,6,3,4,1,2,3,3,3,3,3,3,5,5,6,8,10,1,4,6,6,2,6,9,8,11,4,3,1,3,4,3,6,5,6,7,1,5,6,3,2,4,6,3,4,5,5,1,6,3,7,6,3,4,3,3,3,1,0,1,2,3,4,0,2,1,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"2011","N00000003 (Aldergrove ward)","N00000003",237,0,1,0,3,1,2,0,3,3,7,3,6,13,8,3,5,4,5,2,1,0,3,0,2,1,2,0,2,1,1,1,1,1,4,1,2,2,0,1,3,3,5,8,8,3,5,6,3,10,5,6,4,5,7,2,1,2,5,2,3,4,1,3,5,0,2,4,3,1,2,2,1,3,0,2,2,0,1,1,2,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2011","N00000004 (Aldergrove ward)","N00000004",616,7,9,5,6,6,7,3,8,7,14,11,11,13,11,16,16,11,16,9,12,9,9,5,8,6,8,3,1,8,5,4,7,2,9,1,5,4,10,10,8,7,10,8,10,14,12,11,13,17,17,9,12,9,7,4,12,11,9,7,7,7,5,7,9,8,6,8,5,5,3,4,1,0,4,1,1,3,3,2,3,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2011","N00000005 (Aldergrove ward)","N00000005",374,6,6,3,8,3,9,7,3,7,3,11,2,9,5,3,8,6,5,4,5,1,4,7,6,5,5,8,1,4,3,2,4,4,3,4,1,3,5,4,4,11,15,8,5,9,4,6,8,7,7,4,3,7,5,3,1,7,6,6,3,4,8,3,7,3,2,3,5,3,3,3,3,2,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00000006 (Aldergrove ward)","N00000006",251,1,4,4,5,1,2,4,3,3,3,3,7,3,1,6,3,1,5,2,4,1,1,3,1,4,6,3,5,1,3,3,4,1,3,1,3,3,3,5,5,4,4,3,7,3,3,3,3,5,5,5,4,1,3,1,6,4,5,1,3,3,4,1,5,2,1,0,3,4,0,1,1,2,3,0,3,1,0,1,1,1,1,0,2,1,2,2,3,1,0,2,1,0,0,0,0,1,0,1,0,0
"2011","N00000007 (Aldergrove ward)","N00000007",245,4,2,1,2,3,3,2,3,2,6,4,3,5,3,3,5,4,4,1,3,3,3,3,4,2,3,0,2,2,1,2,1,2,1,5,1,2,1,3,7,5,8,6,6,2,5,2,3,4,5,3,4,3,0,5,4,3,8,4,7,2,0,2,4,3,2,5,1,1,0,5,1,3,0,0,4,1,2,3,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"2011","N00000008 (Aldergrove ward)","N00000008",288,4,1,6,4,0,2,2,3,6,2,1,1,6,1,1,4,3,1,3,2,4,1,4,5,6,5,2,6,5,3,6,7,6,4,2,3,3,5,4,4,8,6,3,3,7,7,9,3,2,6,6,2,3,6,5,5,4,2,5,4,5,4,2,4,3,3,3,2,2,1,0,2,1,3,4,5,1,2,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2011","N00000009 (Aldergrove ward)","N00000009",727,18,10,11,11,13,13,11,8,10,12,13,8,4,4,11,6,8,7,5,11,4,9,5,6,8,8,15,11,15,14,16,20,18,24,13,18,17,16,10,16,9,13,10,11,8,10,14,9,9,7,3,10,6,11,5,7,11,4,6,6,8,7,8,4,5,6,4,4,3,3,1,4,4,4,5,3,7,1,2,0,2,3,0,2,3,2,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
"2011","N00000010 (Aldergrove ward)","N00000010",242,4,0,6,2,5,5,7,1,3,3,4,1,3,3,2,1,5,2,2,4,3,3,3,3,3,3,6,2,5,3,0,1,0,5,1,1,2,4,1,4,4,5,5,1,1,5,5,5,2,3,2,9,2,1,4,3,2,2,3,3,2,5,6,3,1,3,4,4,3,1,1,3,2,0,1,2,1,3,1,4,0,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
