"date","geography","geography code","Age: All categories: Age; measures: Value","Age: Age under 1; measures: Value","Age: Age 1; measures: Value","Age: Age 2; measures: Value","Age: Age 3; measures: Value","Age: Age 4; measures: Value","Age: Age 5; measures: Value","Age: Age 6; measures: Value","Age: Age 7; measures: Value","Age: Age 8; measures: Value","Age: Age 9; measures: Value","Age: Age 10; measures: Value","Age: Age 11; measures: Value","Age: Age 12; measures: Value","Age: Age 13; measures: Value","Age: Age 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16; measures: Value","Age: Age 17; measures: Value","Age: Age 18; measures: Value","Age: Age 19; measures: Value","Age: Age 20; measures: Value","Age: Age 21; measures: Value","Age: Age 22; measures: Value","Age: Age 23; measures: Value","Age: Age 24; measures: Value","Age: Age 25; measures: Value","Age: Age 26; measures: Value","Age: Age 27; measures: Value","Age: Age 28; measures: Value","Age: Age 29; measures: Value","Age: Age 30; measures: Value","Age: Age 31; measures: Value","Age: Age 32; measures: Value","Age: Age 33; measures: Value","Age: Age 34; measures: Value","Age: Age 35; measures: Value","Age: Age 36; measures: Value","Age: Age 37; measures: Value","Age: Age 38; measures: Value","Age: Age 39; measures: Value","Age: Age 40; measures: Value","Age: Age 41; measures: Value","Age: Age 42; measures: Value","Age: Age 43; measures: Value","Age: Age 44; measures: Value","Age: Age 45; measures: Value","Age: Age 46; measures: Value","Age: Age 47; measures: Value","Age: Age 48; measures: Value","Age: Age 49; measures: Value","Age: Age 50; measures: Value","Age: Age 51; measures: Value","Age: Age 52; measures: Value","Age: Age 53; measures: Value","Age: Age 54; measures: Value","Age: Age 55; measures: Value","Age: Age 56; measures: Value","Age: Age 57; measures: Value","Age: Age 58; measures: Value","Age: Age 59; measures: Value","Age: Age 60; measures: Value","Age: Age 61; measures: Value","Age: Age 62; measures: Value","Age: Age 63; measures: Value","Age: Age 64; measures: Value","Age: Age 65; measures: Value","Age: Age 66; measures: Value","Age: Age 67; measures: Value","Age: Age 68; measures: Value","Age: Age 69; measures: Value","Age: Age 70; measures: Value","Age: Age 71; measures: Value","Age: Age 72; measures: Value","Age: Age 73; measures: Value","Age: Age 74; measures: Value","Age: Age 75; measures: Value","Age: Age 76; measures: Value","Age: Age 77; measures: Value","Age: Age 78; measures: Value","Age: Age 79; measures: Value","Age: Age 80; measures: Value","Age: Age 81; measures: Value","Age: Age 82; measures: Value","Age: Age 83; measures: Value","Age: Age 84; measures: Value","Age: Age 85; measures: Value","Age: Age 86; measures: Value","Age: Age 87; measures: Value","Age: Age 88; measures: Value","Age: Age 89; measures: Value","Age: Age 90; measures: Value","Age: Age 91; measures: Value","Age: Age 92; measures: Value","Age: Age 93; measures: Value","Age: Age 94; measures: Value","Age: Age 95; measures: Value","Age: Age 96; measures: Value","Age: Age 97; measures: Value","Age: Age 98; measures: Value","Age: Age 99; measures: Value","Age: Age 100 and over; measures: Value"
"2011","Tullibody South - 01","S01007409",716,6,4,5,6,14,4,6,5,9,2,8,8,6,7,7,5,9,5,7,10,10,7,7,10,13,8,9,5,3,4,9,4,7,4,7,10,9,7,8,11,13,10,13,7,6,10,13,8,12,9,17,11,13,9,5,14,7,8,14,10,17,13,14,9,7,9,13,17,6,6,3,4,10,5,9,2,5,8,4,8,3,9,3,2,4,1,1,5,5,5,6,2,0,0,1,0,1,2,0,2,1
"2011","Tullibody South - 02","S01007410",703,9,12,8,11,12,12,8,11,5,9,11,10,12,8,12,12,11,12,9,13,6,7,9,8,14,12,4,7,9,8,5,8,8,9,9,5,8,14,8,9,5,10,13,12,15,9,21,10,10,9,11,10,9,10,4,7,8,9,8,3,9,4,7,6,9,0,8,7,5,7,14,4,5,9,3,4,3,7,3,4,1,5,1,1,1,0,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0
"2011","Tullibody South - 03","S01007411",895,17,22,15,13,18,10,14,11,9,11,10,10,10,8,9,9,6,10,6,22,7,12,13,19,8,14,15,17,14,13,11,17,10,16,6,12,11,9,16,18,10,9,11,19,13,18,12,11,14,8,10,6,6,10,12,9,7,7,8,7,14,2,10,10,13,10,6,10,9,7,14,5,8,4,8,7,4,6,5,4,3,6,3,1,2,4,4,1,2,1,1,3,0,0,0,0,3,0,0,0,0
"2011","Tullibody South - 04","S01007412",478,4,2,7,5,2,5,7,9,4,2,5,9,5,7,4,5,8,12,5,3,7,4,8,0,5,5,3,4,4,1,8,4,2,4,0,9,5,4,5,12,5,8,9,6,5,11,7,5,9,4,6,7,13,13,6,4,7,8,7,4,7,3,9,8,5,3,4,6,3,4,6,2,6,10,6,9,8,5,2,3,1,3,5,2,3,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0
"2011","Tullibody South - 05","S01007413",910,10,11,15,18,3,14,14,12,8,11,9,10,15,16,10,13,5,15,13,6,12,17,10,8,9,9,15,12,14,11,13,12,8,14,13,16,13,13,17,19,14,13,13,19,25,15,17,17,14,17,27,12,9,12,12,13,13,14,15,12,13,15,10,13,8,8,12,4,1,1,5,6,5,2,4,2,2,1,2,3,1,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","Tullibody South - 06","S01007414",694,7,12,12,13,11,11,19,13,12,9,4,10,10,6,8,12,8,12,11,9,6,6,4,8,1,7,3,3,6,2,8,6,7,6,13,13,15,14,16,19,17,17,16,19,22,14,13,14,13,10,13,7,11,9,8,11,8,10,8,2,4,3,12,7,7,5,4,3,4,1,1,4,3,4,5,1,2,1,2,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 01","S01007415",853,10,6,10,8,11,12,12,8,15,6,14,12,14,18,14,6,14,13,6,10,4,4,7,11,10,12,12,9,11,11,4,10,11,11,16,11,10,12,12,14,11,8,13,14,14,9,14,18,20,17,9,12,9,12,13,17,15,10,7,13,11,13,10,12,5,8,12,8,9,7,8,7,8,6,10,6,5,7,1,2,6,0,3,1,2,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 02","S01007416",595,10,13,16,16,10,12,11,13,6,10,13,8,5,7,10,12,13,9,12,6,7,10,8,13,7,7,10,6,9,9,18,3,5,7,7,6,9,11,8,12,9,9,15,4,9,8,12,5,7,14,10,3,8,11,3,8,6,5,9,5,3,3,6,2,4,2,2,4,3,0,0,3,4,0,3,0,2,0,3,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 03","S01007417",992,10,14,12,14,22,10,22,8,19,8,11,11,11,7,11,9,12,8,17,4,7,6,8,15,13,9,10,11,10,13,18,11,11,14,17,10,9,22,27,14,20,22,15,16,23,23,14,20,21,15,16,12,22,16,14,12,15,7,10,11,9,13,13,13,14,9,12,16,6,7,8,8,9,4,6,1,2,6,4,2,2,3,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 04","S01007418",654,7,1,4,7,9,6,3,7,11,7,6,9,6,10,12,15,7,13,9,4,7,4,9,9,5,4,9,8,4,9,7,8,7,5,6,8,10,11,12,9,7,13,14,4,6,8,14,14,10,11,15,8,12,12,7,8,12,11,4,12,10,15,11,17,10,3,5,7,5,10,3,3,7,5,3,5,2,2,0,1,3,1,1,3,1,0,4,3,1,5,1,1,0,0,0,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 05","S01007419",865,17,12,16,7,14,18,10,10,12,14,18,11,8,17,17,14,14,7,13,18,13,10,18,11,12,21,16,16,13,18,15,13,10,8,13,7,12,12,16,10,12,12,16,12,15,16,10,9,25,17,16,12,7,3,8,8,8,16,12,6,10,4,6,5,12,5,5,7,3,1,2,4,1,7,4,4,0,0,1,2,2,2,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011","Tullibody North and Glenochil - 06","S01007420",1451,12,13,20,18,14,10,10,8,6,9,2,10,9,10,6,11,13,12,13,16,10,25,15,55,36,34,46,47,22,33,30,43,31,31,29,40,39,36,31,37,25,39,38,29,23,28,27,42,19,18,21,17,11,17,16,12,11,10,13,15,3,12,13,8,11,4,7,11,9,3,5,5,5,2,6,2,5,3,4,1,1,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"2011","Menstrie - 01","S01007421",663,10,9,16,10,10,9,10,8,7,9,4,7,8,12,6,4,11,7,5,5,6,2,9,6,3,5,9,8,5,6,7,7,5,10,17,6,14,16,10,14,19,16,12,12,10,11,8,15,8,6,12,12,18,13,10,8,4,12,9,4,2,12,3,1,7,9,7,10,6,6,7,5,4,3,4,7,0,1,2,2,1,0,2,2,2,1,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0
"2011","Menstrie - 02","S01007422",590,8,7,9,12,8,7,6,2,9,5,2,3,3,4,9,4,3,7,4,4,5,2,5,8,5,1,6,7,2,8,6,8,4,7,7,6,6,12,10,11,8,11,10,6,2,8,14,12,13,10,8,14,12,1,10,8,8,7,7,10,9,5,7,11,13,5,6,7,11,7,7,7,6,3,2,7,6,2,3,2,2,1,7,2,3,1,2,4,6,4,4,0,2,3,0,2,0,0,0,0,0
"2011","Menstrie - 03","S01007423",764,13,16,18,11,17,15,7,3,9,11,10,9,6,6,5,8,4,5,5,10,6,6,4,5,7,4,8,11,16,14,16,20,17,17,18,15,12,7,14,20,25,14,13,10,10,4,6,10,8,12,8,11,11,11,7,3,2,12,6,13,7,10,8,3,8,11,6,7,6,6,4,1,4,6,9,4,4,5,0,4,4,5,2,5,2,2,1,3,1,1,1,0,2,0,0,1,0,0,0,0,0
"2011","Menstrie - 04","S01007424",787,6,4,5,8,7,9,5,10,4,9,7,7,12,5,5,11,11,6,5,8,7,7,2,8,4,6,8,7,11,8,7,7,5,3,7,10,3,6,14,11,7,11,12,15,14,5,8,7,9,10,14,6,15,11,9,17,19,13,19,14,14,19,17,17,17,15,13,15,7,10,12,3,8,15,14,6,11,8,7,8,5,5,2,4,2,3,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0
"2011","Alva - 01","S01007425",872,10,8,12,9,10,10,7,5,9,15,9,12,8,6,11,7,15,12,10,7,16,7,7,14,4,10,11,8,7,4,9,10,11,13,6,6,3,6,8,16,11,8,16,12,20,15,15,13,12,20,16,9,15,10,16,10,16,11,8,15,12,16,18,18,18,13,12,12,13,11,9,9,7,10,4,8,6,6,4,4,5,6,4,6,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"2011","Alva - 02","S01007426",661,2,12,3,14,5,8,6,10,7,9,9,9,8,7,5,4,3,7,9,5,12,5,4,5,11,7,7,5,6,3,11,8,7,7,7,10,3,11,7,14,13,6,17,16,9,10,15,5,9,6,10,9,9,11,11,7,10,13,6,10,6,11,5,9,7,6,7,7,3,15,6,5,7,8,2,2,8,5,5,3,7,5,6,1,2,4,2,5,0,1,2,4,0,0,0,1,0,0,0,0,0
"2011","Alva - 03","S01007427",642,7,8,4,6,5,2,3,8,6,5,4,7,6,6,4,11,8,6,7,16,11,4,8,13,8,6,3,7,7,5,8,6,14,3,7,11,2,2,9,5,6,10,4,12,12,7,9,10,6,17,9,13,12,7,6,8,6,4,15,10,8,2,10,9,21,8,8,7,9,13,8,13,5,6,10,7,8,6,5,4,3,5,3,2,1,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0
"2011","Alva - 04","S01007428",887,8,10,10,13,6,8,10,7,10,10,7,9,10,8,8,4,10,11,13,14,5,8,11,12,12,11,14,13,5,10,16,6,13,7,4,9,8,5,10,12,13,10,15,18,27,14,16,21,12,15,13,17,13,6,7,9,5,10,10,12,11,13,9,17,10,18,7,9,11,16,9,6,8,7,7,6,8,5,10,4,9,9,4,4,6,3,3,7,4,4,1,1,0,0,1,0,0,0,0,0,0
"2011","Alva - 05","S01007429",715,7,11,5,6,3,6,2,8,9,5,9,9,7,6,5,16,10,13,13,10,7,10,15,9,12,11,13,6,13,4,8,14,3,11,7,8,12,7,7,17,3,11,14,10,10,12,12,11,14,13,7,21,14,16,12,8,5,15,11,11,12,3,10,6,4,7,6,4,5,12,4,6,7,3,4,9,3,5,2,2,4,3,2,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"2011","Alva - 06","S01007430",442,2,3,1,3,1,4,0,3,2,0,3,4,1,8,7,5,10,12,6,3,5,6,4,5,2,6,7,7,4,3,1,1,4,5,4,4,8,4,3,7,7,1,2,6,11,7,8,4,4,12,9,3,8,5,8,5,5,7,9,4,10,9,12,14,8,3,5,9,9,3,6,4,4,5,8,0,3,4,4,4,5,1,2,1,1,4,0,3,3,2,1,0,0,1,0,0,1,0,0,0,0
"2011","Alva - 07","S01007431",554,4,0,2,5,3,4,3,3,5,7,5,8,8,4,7,8,11,9,14,9,7,9,5,8,7,6,5,5,4,4,4,5,3,4,3,1,7,7,3,4,7,10,8,5,7,16,13,12,12,12,10,12,10,8,11,7,11,10,14,12,5,11,8,13,5,5,11,5,8,4,3,4,4,7,4,4,4,3,2,6,3,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"2011","Fishcross, Devon Village and Coalsnaughton - 01","S01007432",818,4,8,7,4,9,7,6,6,3,7,7,7,6,9,10,10,11,8,8,9,9,12,3,6,3,7,10,8,13,6,10,18,10,4,9,6,7,4,6,16,6,12,17,9,15,15,15,10,20,18,15,11,11,10,16,16,11,9,12,11,13,15,15,18,17,15,13,17,12,12,12,10,8,13,9,6,9,4,4,1,6,1,2,1,1,3,2,1,1,2,0,1,0,2,0,0,0,0,0,0,0
"2011","Fishcross, Devon Village and Coalsnaughton - 02","S01007433",798,5,8,5,7,1,8,12,7,13,9,11,11,11,10,14,7,13,8,10,7,8,6,3,7,5,6,3,3,6,1,12,10,10,2,10,5,13,3,7,11,12,11,17,10,16,11,13,18,9,18,10,13,20,13,17,11,13,10,8,17,15,15,13,10,13,10,11,11,9,9,12,10,11,10,10,2,4,0,7,11,6,5,5,2,4,2,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0
"2011","Fishcross, Devon Village and Coalsnaughton - 03","S01007434",496,7,7,4,9,5,5,7,12,3,8,5,3,3,8,2,6,7,7,8,5,9,10,5,3,14,5,6,8,6,9,11,7,7,5,6,8,11,5,8,9,14,5,7,5,4,5,8,4,8,4,7,10,9,7,8,7,10,7,6,3,8,2,6,5,4,3,8,5,4,5,7,1,4,0,5,2,1,1,1,3,3,0,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2011","Tillicoultry - 01","S01007435",681,6,4,8,3,7,2,6,4,9,6,9,7,7,7,10,12,7,10,10,5,9,12,9,7,3,4,9,8,10,4,18,6,10,8,4,3,8,13,8,11,14,9,13,10,10,13,5,16,13,12,15,11,9,6,14,11,7,9,7,8,9,8,12,17,5,2,11,14,16,8,7,4,5,2,4,2,6,5,5,3,1,3,1,3,1,4,1,0,1,1,2,2,0,0,0,1,0,0,0,0,0
"2011","Tillicoultry - 02","S01007436",675,12,12,1,5,10,12,11,5,5,10,10,6,8,9,7,9,4,4,6,9,12,6,7,8,15,7,9,7,9,8,20,14,3,14,9,8,6,7,8,15,4,13,8,8,9,14,10,7,12,9,10,7,8,6,7,12,11,12,7,7,15,8,10,6,9,6,12,7,8,6,5,6,3,3,4,0,1,2,3,2,3,2,5,2,5,4,3,0,2,3,1,0,1,0,0,0,0,0,0,0,0
"2011","Tillicoultry - 03","S01007437",440,7,7,5,3,8,3,1,7,4,3,2,3,3,4,5,5,6,6,8,8,4,6,1,11,6,9,5,8,5,6,5,10,4,5,4,3,2,5,6,8,3,9,3,7,6,4,1,7,5,10,4,4,9,4,7,5,5,14,5,8,5,5,9,8,16,6,3,3,8,3,2,1,3,1,4,2,3,2,2,4,3,4,3,2,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"2011","Tillicoultry - 04","S01007438",673,5,10,11,4,10,8,4,6,6,6,4,6,4,8,3,6,3,6,6,7,5,10,10,8,13,7,8,6,6,4,5,11,4,5,10,14,12,2,9,6,7,10,16,16,6,10,10,16,10,6,7,9,7,5,4,13,10,10,10,8,6,15,5,13,15,16,16,12,11,3,5,9,12,9,6,7,6,4,3,3,5,3,5,2,2,3,2,2,3,0,0,1,0,0,1,0,0,0,0,0,0
"2011","Tillicoultry - 05","S01007439",686,6,4,6,7,4,5,7,3,5,6,3,4,4,12,1,9,8,4,10,9,7,9,6,12,11,6,6,9,6,5,7,9,6,3,7,5,5,9,12,7,4,12,20,15,15,11,7,9,9,10,7,10,17,10,9,6,11,17,8,14,12,10,11,11,13,14,10,11,14,7,12,5,1,13,4,6,9,5,6,3,1,3,2,4,2,1,2,0,3,1,1,0,2,0,0,2,0,0,0,0,0
"2011","Tillicoultry - 06","S01007440",649,4,5,3,8,7,5,9,6,7,8,6,8,7,10,12,5,9,11,7,8,6,7,5,5,8,5,4,3,8,3,13,6,9,4,3,8,6,7,7,6,9,5,10,7,13,11,10,14,9,6,2,17,8,14,15,12,8,13,11,7,8,14,11,19,15,5,8,4,4,4,2,6,9,6,7,7,6,7,4,5,1,1,6,4,5,1,3,4,2,0,0,1,0,0,1,0,0,0,0,0,0
"2011","Tillicoultry - 07","S01007441",551,3,2,5,7,2,7,6,6,4,6,7,11,4,5,9,5,8,7,10,3,4,2,3,3,4,3,1,5,2,2,5,4,7,3,4,8,13,7,9,11,7,8,11,3,9,6,7,5,12,9,7,13,5,13,16,8,19,9,7,7,7,13,13,12,16,9,9,7,8,6,7,5,4,6,8,4,4,4,5,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011","Tillicoultry - 08","S01007442",480,3,2,3,3,3,3,2,3,3,4,2,7,8,3,7,6,6,8,6,4,5,4,3,5,2,2,1,2,3,2,1,5,5,6,5,6,3,2,5,4,7,8,8,12,2,5,10,6,3,7,9,5,8,6,13,14,5,7,10,12,14,13,11,21,14,6,8,6,6,7,3,6,2,5,8,1,2,2,3,6,4,3,3,0,3,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0
"2011","Dollar and Muckhart - 01","S01007443",924,7,10,6,10,4,6,10,8,10,10,12,8,13,11,24,17,22,36,27,4,5,4,6,5,2,3,8,3,5,7,4,5,7,4,9,6,10,9,9,13,10,6,11,16,11,10,18,14,11,13,14,17,9,16,8,14,19,10,8,11,14,16,14,12,10,12,19,13,14,17,10,9,13,6,11,12,9,12,7,4,7,11,13,3,4,5,2,4,6,4,1,1,4,0,0,0,0,0,0,0,0
"2011","Dollar and Muckhart - 02","S01007444",945,2,6,10,5,9,10,8,12,10,9,17,12,13,18,13,18,18,13,14,4,3,3,4,2,2,6,2,3,4,5,1,7,2,3,7,5,9,11,7,14,10,14,19,18,22,16,20,23,19,20,13,21,12,12,14,15,24,21,17,10,15,7,14,22,16,11,10,7,13,4,10,8,11,12,8,7,11,7,11,6,10,7,6,7,2,5,5,7,6,6,6,2,1,2,2,0,0,0,0,0,0
