"date","geography","geography code","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 8. Process plant and machine operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value"
"2011","Tullibody South - 01","S01007409",373,32,46,34,47,47,43,29,47,48
"2011","Tullibody South - 02","S01007410",258,12,12,16,23,41,38,31,35,50
"2011","Tullibody South - 03","S01007411",346,27,28,22,39,45,35,44,47,59
"2011","Tullibody South - 04","S01007412",206,10,21,18,27,30,17,22,26,35
"2011","Tullibody South - 05","S01007413",528,44,72,77,75,71,51,52,49,37
"2011","Tullibody South - 06","S01007414",398,42,92,76,46,31,31,33,22,25
"2011","Tullibody North and Glenochil - 01","S01007415",367,18,23,36,25,42,42,40,65,76
"2011","Tullibody North and Glenochil - 02","S01007416",197,8,12,7,14,28,24,29,32,43
"2011","Tullibody North and Glenochil - 03","S01007417",549,63,98,108,70,50,32,51,42,35
"2011","Tullibody North and Glenochil - 04","S01007418",297,17,21,24,32,32,30,33,44,64
"2011","Tullibody North and Glenochil - 05","S01007419",360,9,25,32,26,42,51,49,48,78
"2011","Tullibody North and Glenochil - 06","S01007420",563,63,77,80,56,105,32,39,45,66
"2011","Menstrie - 01","S01007421",351,33,97,50,31,35,28,21,20,36
"2011","Menstrie - 02","S01007422",278,26,52,34,26,39,31,25,19,26
"2011","Menstrie - 03","S01007423",409,49,91,74,36,47,38,25,21,28
"2011","Menstrie - 04","S01007424",405,30,90,65,48,49,31,36,26,30
"2011","Alva - 01","S01007425",421,40,73,49,40,56,38,45,38,42
"2011","Alva - 02","S01007426",289,18,47,28,28,36,31,31,27,43
"2011","Alva - 03","S01007427",265,22,20,29,22,39,33,33,31,36
"2011","Alva - 04","S01007428",415,38,51,48,47,59,41,32,45,54
"2011","Alva - 05","S01007429",383,33,66,46,39,53,35,32,32,47
"2011","Alva - 06","S01007430",220,25,32,26,16,25,19,26,22,29
"2011","Alva - 07","S01007431",300,29,46,47,43,28,25,34,12,36
"2011","Fishcross, Devon Village and Coalsnaughton - 01","S01007432",390,28,49,50,43,50,41,30,53,46
"2011","Fishcross, Devon Village and Coalsnaughton - 02","S01007433",365,41,62,46,25,54,33,37,27,40
"2011","Fishcross, Devon Village and Coalsnaughton - 03","S01007434",221,14,16,16,20,39,26,28,29,33
"2011","Tillicoultry - 01","S01007435",341,20,44,41,38,51,41,37,33,36
"2011","Tillicoultry - 02","S01007436",298,24,35,23,29,34,30,33,27,63
"2011","Tillicoultry - 03","S01007437",201,17,36,23,22,23,22,22,18,18
"2011","Tillicoultry - 04","S01007438",304,17,35,31,34,48,28,38,36,37
"2011","Tillicoultry - 05","S01007439",325,16,50,42,34,48,39,30,29,37
"2011","Tillicoultry - 06","S01007440",306,19,27,30,37,55,40,23,39,36
"2011","Tillicoultry - 07","S01007441",290,32,55,42,37,37,16,31,22,18
"2011","Tillicoultry - 08","S01007442",249,28,65,38,19,24,24,26,13,12
"2011","Dollar and Muckhart - 01","S01007443",350,46,93,32,32,43,33,21,13,37
"2011","Dollar and Muckhart - 02","S01007444",408,63,130,57,44,35,26,18,13,22
"2011","Dollar and Muckhart - 03","S01007445",287,44,109,35,27,21,20,14,9,8
"2011","Dollar and Muckhart - 04","S01007446",249,47,89,38,14,10,13,18,7,13
"2011","Dollar and Muckhart - 05","S01007447",236,35,74,26,20,29,13,13,9,17
"2011","Clackmannan, Kennet and Forestmill - 01","S01007448",422,41,70,56,44,67,28,37,40,39
"2011","Clackmannan, Kennet and Forestmill - 02","S01007449",440,24,49,44,39,52,64,51,57,60
"2011","Clackmannan, Kennet and Forestmill - 03","S01007450",300,25,24,24,37,39,34,41,29,47
"2011","Clackmannan, Kennet and Forestmill - 04","S01007451",304,18,33,31,46,30,34,43,31,38
"2011","Clackmannan, Kennet and Forestmill - 05","S01007452",215,17,27,17,18,21,22,26,30,37
"2011","Clackmannan, Kennet and Forestmill - 06","S01007453",345,47,69,75,37,38,18,22,22,17
"2011","Sauchie - 01","S01007454",251,16,12,32,22,30,34,21,48,36
"2011","Sauchie - 02","S01007455",365,26,25,32,28,44,58,53,42,57
"2011","Sauchie - 03","S01007456",367,9,25,28,29,44,49,54,51,78
"2011","Sauchie - 04","S01007457",479,33,50,55,45,78,50,47,47,74
"2011","Sauchie - 05","S01007458",278,17,39,37,44,46,30,23,25,17
"2011","Sauchie - 06","S01007459",292,19,42,37,45,47,29,22,25,26
"2011","Sauchie - 07","S01007460",325,27,24,31,37,55,45,32,40,34
"2011","Alloa South and East - 01","S01007461",253,13,19,12,18,32,42,31,32,54
"2011","Alloa South and East - 02","S01007462",431,28,53,49,54,65,58,40,33,51
"2011","Alloa South and East - 03","S01007463",324,21,21,13,27,44,29,47,44,78
"2011","Alloa South and East - 04","S01007464",242,8,9,19,16,25,33,29,31,72
"2011","Alloa South and East - 05","S01007465",233,10,9,14,13,18,41,34,44,50
"2011","Alloa South and East - 06","S01007466",403,21,39,28,42,32,48,70,43,80
"2011","Alloa North - 01","S01007467",429,32,47,55,51,70,36,41,32,65
"2011","Alloa North - 02","S01007468",410,34,53,45,45,56,45,44,39,49
"2011","Alloa North - 03","S01007469",278,16,22,26,37,37,41,24,32,43
"2011","Alloa North - 04","S01007470",271,20,25,32,28,37,33,30,28,38
"2011","Alloa North - 05","S01007471",250,10,22,37,35,30,31,33,20,32
"2011","Alloa North - 06","S01007472",223,6,18,15,23,41,32,21,27,40
"2011","Alloa North - 07","S01007473",207,6,12,24,26,32,23,29,29,26
"2011","Alloa North - 08","S01007474",296,27,41,44,47,31,28,26,23,29
"2011","Alloa North - 09","S01007475",313,22,58,51,45,38,22,23,25,29
"2011","Alloa West - 01","S01007476",292,22,45,38,42,35,31,26,22,31
"2011","Alloa West - 02","S01007477",273,27,60,39,37,32,22,17,17,22
"2011","Alloa West - 03","S01007478",444,37,108,75,49,39,37,38,31,30
"2011","Alloa West - 04","S01007479",307,21,40,43,41,46,32,29,32,23
"2011","Alloa West - 05","S01007480",453,34,49,68,52,59,39,50,54,48
"2011","Stranraer West - 01","S01007481",345,32,57,36,35,58,42,27,28,30
