"date","geography","geography code","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","N00000001 (Aldergrove ward)","N00000001",757,45,114,190,19,176,189,24,15,11,6,0,5
"2011","N00000002 (Aldergrove ward)","N00000002",269,66,24,38,14,25,90,12,7,10,6,0,4
"2011","N00000003 (Aldergrove ward)","N00000003",179,37,21,27,8,19,63,4,9,4,0,0,4
"2011","N00000004 (Aldergrove ward)","N00000004",466,106,60,80,15,77,116,12,26,25,12,4,9
"2011","N00000005 (Aldergrove ward)","N00000005",281,60,24,42,11,44,90,10,11,9,3,2,4
"2011","N00000006 (Aldergrove ward)","N00000006",198,31,19,46,14,23,54,11,5,8,5,2,1
"2011","N00000007 (Aldergrove ward)","N00000007",194,37,17,36,10,29,54,11,6,7,4,2,1
"2011","N00000008 (Aldergrove ward)","N00000008",244,52,28,31,16,24,83,10,4,10,3,2,5
"2011","N00000009 (Aldergrove ward)","N00000009",564,89,60,91,22,76,194,32,14,22,13,2,7
"2011","N00000010 (Aldergrove ward)","N00000010",192,59,25,28,9,18,44,9,7,10,7,0,3
"2011","N00000011 (Balloo ward)","N00000011",251,94,37,36,13,21,39,11,5,9,5,1,3
"2011","N00000012 (Balloo ward)","N00000012",222,77,25,32,13,27,33,15,3,6,4,2,0
"2011","N00000013 (Balloo ward)","N00000013",227,73,30,37,9,25,42,11,7,4,1,0,3
"2011","N00000014 (Balloo ward)","N00000014",382,111,59,76,14,35,68,19,7,13,11,1,1
"2011","N00000015 (Balloo ward)","N00000015",195,92,30,22,9,16,22,4,4,6,4,0,2
"2011","N00000016 (Balloo ward)","N00000016",191,59,26,39,11,16,26,14,4,3,2,0,1
"2011","N00000017 (Ballycraigy ward)","N00000017",252,88,38,39,11,32,40,4,6,7,5,0,2
"2011","N00000018 (Ballycraigy ward)","N00000018",181,48,34,30,10,23,26,10,6,10,5,0,5
"2011","N00000019 (Ballycraigy ward)","N00000019",212,96,35,28,7,18,18,10,3,6,2,0,4
"2011","N00000020 (Ballycraigy ward)","N00000020",170,62,23,36,10,17,14,8,0,1,0,0,1
"2011","N00000021 (Ballycraigy ward)","N00000021",215,74,30,35,10,26,30,10,3,5,2,1,2
"2011","N00000022 (Ballycraigy ward)","N00000022",222,102,31,25,7,30,22,5,11,5,1,1,3
"2011","N00000023 (Ballycraigy ward)","N00000023",184,95,19,26,5,17,17,5,2,3,2,0,1
"2011","N00000024 (Clady ward)","N00000024",402,75,56,59,21,52,130,9,20,25,13,0,12
"2011","N00000025 (Clady ward)","N00000025",371,103,33,67,23,38,96,11,8,19,12,0,7
"2011","N00000026 (Clady ward)","N00000026",383,90,41,66,19,50,105,12,18,26,11,4,11
"2011","N00000027 (Clady ward)","N00000027",401,99,61,59,13,55,101,13,16,17,7,1,9
"2011","N00000028 (Clady ward)","N00000028",188,54,27,36,11,24,31,5,12,14,5,4,5
"2011","N00000029 (Clady ward)","N00000029",323,78,35,46,13,45,93,13,15,17,8,2,7
"2011","N00000030 (Clady ward)","N00000030",305,81,29,52,13,44,78,8,9,15,9,0,6
